Danylo FEDORENKO POSITION,Danylo FEDORENKO LAP TIME,Danylo FEDORENKO ELAPSED TIME,Julian MACARAEG POSITION,Julian MACARAEG LAP TIME,Julian MACARAEG ELAPSED TIME,Trevor Xu Xuan TAN POSITION,Trevor Xu Xuan TAN LAP TIME,Trevor Xu Xuan TAN ELAPSED TIME,NIEWINSKI Michal POSITION,NIEWINSKI Michal LAP TIME,NIEWINSKI Michal ELAPSED TIME
1,13.23,,2,13.36,13.36,3,13.49,,4,13.64,13.64
1,10.11,,2,10.09,23.45,3,10.08,,4,10.02,23.66
1,9.84,,2,9.85,33.30,3,9.92,,4,9.94,33.60
1,9.24,,2,9.23,42.53,3,9.18,,4,9.19,42.79
3,9.35,,1,9.05,51.58,2,9.03,,4,9.12,51.91
4,9.43,,1,9.33,1:00.91,3,9.40,,2,9.08,1:00.99
4,9.31,,1,9.31,1:10.22,3,9.29,,2,9.33,1:10.32
3,9.55,,1,9.49,1:19.71,4,22.95,,2,9.52,1:19.84
2,9.96,,3,10.80,1:30.51,4,15.69,1:49.03,1,9.81,1:29.65
