Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME
1,16.799,16.799,3,17.074,17.074,4,17.101,17.101,2,16.999,16.999
1,13.892,30.690,4,14.014,31.088,3,13.719,30.820,2,13.785,30.784
4,10.687,41.377,2,10.191,41.279,1,10.219,41.038,3,10.504,41.288
2,9.649,51.026,3,9.851,51.129,1,9.700,50.738,4,9.981,51.268
1,9.623,1:00.648,2,9.622,1:00.750,4,10.505,1:01.242,3,9.673,1:00.940
4,10.258,1:10.906,1,9.641,1:10.391,3,9.501,1:10.742,2,9.695,1:10.635
3,9.407,1:20.312,1,9.493,1:19.883,4,9.697,1:20.439,2,9.606,1:20.240
2,9.434,1:29.745,1,9.502,1:29.385,4,9.817,1:30.255,3,9.792,1:30.031
0,,DQ,1,9.99,1:39.371,3,10.52,1:40.775,2,10.01,1:40.038
