Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME
2,6.73,6.73,1,6.72,6.72,4,7.02,7.02,3,6.97,6.97
2,9.29,16.03,1,9.01,15.74,4,9.16,16.19,3,9.15,16.12
3,8.96,24.99,1,8.83,24.58,4,8.88,25.07,2,8.61,24.74
4,9.53,34.53,1,9.20,33.78,2,8.74,33.82,3,9.09,33.83
4,9.77,44.291,1,9.29,43.070,3,9.43,43.250,2,9.30,43.129
