Lezleigh JAWORSKI POSITION,Lezleigh JAWORSKI LAP TIME,Lezleigh JAWORSKI ELAPSED TIME,KANG Yun-Mi POSITION,KANG Yun-Mi LAP TIME,KANG Yun-Mi ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Satomi SAKAI POSITION,Satomi SAKAI LAP TIME,Satomi SAKAI ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Emilie NADEAU-BENOIT POSITION,Emilie NADEAU-BENOIT LAP TIME,Emilie NADEAU-BENOIT ELAPSED TIME
5,9.862,9.862,2,9.671,9.671,4,9.852,9.852,6,9.876,9.876,1,9.568,9.568,3,9.851,9.851
3,14.141,24.003,1,14.245,23.915,5,14.280,24.132,4,14.166,24.041,6,14.571,24.138,2,14.111,23.961
1,13.244,37.247,3,13.381,37.295,5,13.347,37.479,2,13.230,37.271,4,13.267,37.405,6,13.585,37.545
1,11.976,49.223,4,12.334,49.629,6,12.274,49.752,5,12.424,49.695,3,12.098,49.502,2,11.924,49.469
2,11.986,1:01.208,5,12.007,1:01.635,6,11.972,1:01.723,3,11.781,1:01.475,4,12.071,1:01.573,1,11.734,1:01.203
3,11.893,1:13.100,6,12.099,1:13.733,1,11.289,1:13.011,5,11.949,1:13.424,4,11.683,1:13.255,2,11.812,1:13.015
2,11.154,1:24.254,6,11.084,1:24.817,3,11.342,1:24.353,4,11.103,1:24.526,5,11.405,1:24.660,1,11.171,1:24.185
3,11.671,1:35.925,6,11.718,1:36.535,2,11.550,1:35.902,4,11.591,1:36.116,5,11.545,1:36.205,1,11.600,1:35.785
1,11.760,1:47.684,6,11.695,1:48.230,3,11.883,1:47.785,4,11.820,1:47.935,5,11.975,1:48.179,2,11.940,1:47.724
2,10.900,1:58.584,6,10.910,1:59.140,1,10.672,1:58.456,4,10.924,1:58.859,5,10.766,1:58.945,3,10.905,1:58.628
2,10.077,2:08.660,6,9.977,2:09.116,1,10.201,2:08.656,4,10.002,2:08.861,5,10.069,2:09.013,3,10.090,2:08.718
3,10.179,2:18.838,6,11.040,2:20.156,1,10.066,2:18.721,4,10.210,2:19.070,5,10.230,2:19.243,2,10.118,2:18.836
4,10.148,2:28.986,1,8.191,2:28.346,2,10.005,2:28.726,5,10.053,2:29.123,6,9.975,2:29.217,3,9.979,2:28.815
5,10.57,2:39.550,1,9.90,2:38.246,3,10.32,2:39.040,6,11.25,2:40.368,4,10.05,2:39.265,2,9.85,2:38.656
