Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME,Aslan DAUMOV POSITION,Aslan DAUMOV LAP TIME,Aslan DAUMOV ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
4,10.12,10.12,1,9.54,9.54,3,9.83,9.83,2,9.68,9.68,5,10.25,10.25
4,12.93,23.05,1,13.14,22.68,3,13.05,22.88,2,13.08,22.76,5,12.92,23.17
4,12.65,35.70,1,12.67,35.35,3,12.67,35.55,2,12.68,35.44,5,12.65,35.82
4,12.68,48.38,1,12.66,48.01,3,12.68,48.23,2,12.68,48.12,5,12.72,48.54
4,12.71,1:01.09,1,12.68,1:00.69,3,12.69,1:00.92,2,12.66,1:00.78,5,12.64,1:01.18
4,11.72,1:12.81,1,11.73,1:12.42,3,11.83,1:12.75,2,11.84,1:12.62,5,11.74,1:12.92
4,9.91,1:22.72,1,10.01,1:22.43,3,9.86,1:22.61,2,9.90,1:22.52,5,9.91,1:22.83
4,9.58,1:32.30,1,9.56,1:31.99,3,9.58,1:32.19,2,9.56,1:32.08,5,9.56,1:32.39
3,9.13,1:41.43,1,9.33,1:41.32,4,9.32,1:41.51,2,9.30,1:41.38,5,9.25,1:41.64
1,9.08,1:50.51,3,9.49,1:50.81,5,9.40,1:50.91,2,9.20,1:50.58,4,9.24,1:50.88
2,9.09,1:59.60,4,9.28,2:00.09,5,9.48,2:00.39,3,9.22,1:59.80,1,8.70,1:59.58
2,8.99,2:08.59,4,9.29,2:09.38,5,9.82,2:10.21,3,9.35,2:09.15,1,8.79,2:08.37
2,9.01,2:17.60,4,9.58,2:18.96,5,10.58,2:20.79,3,9.67,2:18.82,1,9.06,2:17.43
2,9.35,2:26.944,4,10.45,2:29.406,5,11.06,2:31.849,3,10.04,2:28.853,1,9.30,2:26.722
