KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,Yulia SHISHKINA POSITION,Yulia SHISHKINA LAP TIME,Yulia SHISHKINA ELAPSED TIME,Joanie GERVAIS POSITION,Joanie GERVAIS LAP TIME,Joanie GERVAIS ELAPSED TIME,Tamara FREDERICK POSITION,Tamara FREDERICK LAP TIME,Tamara FREDERICK ELAPSED TIME
1,7.68,7.68,2,7.80,7.80,3,7.90,7.90,4,8.09,8.09
2,10.03,17.71,1,9.82,17.62,3,9.89,17.79,4,9.89,17.98
2,9.15,26.86,1,9.15,26.77,3,9.15,26.94,4,9.10,27.08
4,9.82,36.68,1,9.28,36.05,3,9.44,36.38,2,9.21,36.29
3,10.13,46.810,1,9.63,45.678,0,,PEN,2,9.46,45.742
