Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
2,6.79,6.79,3,6.93,6.93,4,7.09,7.09,1,6.76,6.76
2,8.78,15.57,3,8.74,15.67,4,8.86,15.95,1,8.70,15.46
2,8.39,23.96,3,8.40,24.07,4,8.21,24.16,1,8.43,23.89
1,8.40,32.36,4,8.76,32.83,3,8.59,32.75,2,8.65,32.54
1,8.71,41.063,4,8.62,41.441,3,8.54,41.290,2,8.69,41.221
