Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
2,14.77,14.77,3,14.85,14.85,1,14.61,14.61
2,11.99,26.77,3,12.01,26.87,1,11.90,26.52
2,11.84,38.62,3,11.83,38.71,1,11.72,38.24
2,11.48,50.10,3,11.57,50.28,1,11.73,49.97
3,10.85,1:00.96,1,10.34,1:00.63,2,10.93,1:00.91
3,9.57,1:10.54,1,9.69,1:10.33,2,9.56,1:10.48
3,9.23,1:19.77,1,9.14,1:19.48,2,9.15,1:19.63
3,8.97,1:28.75,1,8.98,1:28.46,2,9.08,1:28.71
2,9.07,1:37.818,1,9.13,1:37.586,3,9.13,1:37.835
