EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME
2,12.51,12.51,1,12.44,12.44,3,12.69,12.69,4,12.77,12.77,5,12.89,12.89,6,13.16,13.16
2,16.90,29.41,1,16.84,29.28,6,16.99,29.68,4,16.78,29.55,3,16.59,29.48,5,16.45,29.61
4,12.98,42.39,4,13.11,42.39,1,12.47,42.15,6,13.00,42.55,3,12.80,42.28,2,12.57,42.18
5,11.75,54.14,2,11.59,53.98,1,11.81,53.96,6,11.72,54.27,3,11.72,54.00,4,11.87,54.05
2,11.22,1:05.36,1,11.29,1:05.27,6,11.80,1:05.76,4,11.19,1:05.46,3,11.45,1:05.45,5,11.51,1:05.56
2,11.99,1:17.35,1,12.00,1:17.27,6,11.89,1:17.65,4,12.03,1:17.49,3,12.00,1:17.45,5,11.98,1:17.54
3,11.59,1:28.94,2,11.55,1:28.82,5,11.57,1:29.22,6,11.84,1:29.33,1,11.25,1:28.70,4,11.51,1:29.05
2,10.68,1:39.62,2,10.80,1:39.62,5,10.79,1:40.01,6,10.79,1:40.12,1,10.81,1:39.51,4,10.78,1:39.83
2,10.17,1:49.79,3,10.26,1:49.88,5,10.06,1:50.07,6,10.17,1:50.29,1,10.14,1:49.65,4,10.15,1:49.98
1,9.69,1:59.48,3,9.71,1:59.59,5,9.74,1:59.81,6,10.32,2:00.61,2,9.87,1:59.52,4,9.69,1:59.67
1,9.55,2:09.03,3,9.65,2:09.24,5,9.79,2:09.60,6,10.62,2:11.23,2,9.61,2:09.13,4,9.76,2:09.43
1,9.67,2:18.70,3,9.67,2:18.91,5,9.84,2:19.44,6,11.46,2:22.69,2,9.69,2:18.82,4,9.78,2:19.21
1,9.79,2:28.49,3,9.77,2:28.68,5,10.15,2:29.59,6,11.90,2:34.59,2,9.79,2:28.61,4,10.30,2:29.51
1,9.95,2:38.44,3,9.98,2:38.66,5,10.40,2:39.99,6,12.52,2:47.11,2,9.96,2:38.57,4,10.41,2:39.92
