Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME
1,7.01,7.01,2,7.03,7.03,3,7.08,7.08
1,9.16,16.17,3,9.67,16.71,2,9.15,16.24
2,8.80,24.98,3,9.22,25.93,1,8.67,24.91
2,9.07,34.05,3,9.26,35.19,1,8.99,33.90
2,8.90,42.944,3,9.60,44.785,1,8.97,42.864
