YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,LI Wenlong POSITION,LI Wenlong LAP TIME,LI Wenlong ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME
1,8.16,8.16,3,8.46,8.46,2,8.42,,4,8.55,8.55,5,8.66,8.66,6,8.92,8.92,7,9.07,9.07
1,11.13,19.29,3,11.07,19.53,2,10.97,,4,11.08,19.63,5,11.06,19.72,6,10.91,19.83,7,10.87,19.94
1,10.33,29.62,3,10.31,29.84,2,10.33,,4,10.30,29.93,5,10.32,30.04,6,10.32,30.15,7,10.32,30.26
1,10.10,39.72,3,10.06,39.90,2,10.09,,4,10.08,40.01,5,10.08,40.12,6,10.06,40.21,7,10.07,40.33
1,9.95,49.67,3,9.95,49.85,2,9.93,,4,9.94,49.95,5,9.92,50.04,6,9.91,50.12,7,9.92,50.25
2,9.73,59.40,1,9.54,59.39,3,9.74,,4,9.70,59.65,5,9.70,59.74,6,9.69,59.81,7,9.72,59.97
3,9.30,1:08.70,1,9.22,1:08.61,2,9.20,,4,9.19,1:08.84,6,9.28,1:09.02,5,9.12,1:08.93,7,9.16,1:09.13
3,9.66,1:18.36,1,9.48,1:18.09,2,9.53,,4,9.60,1:18.44,6,9.60,1:18.62,5,9.62,1:18.55,7,9.60,1:18.73
1,8.95,1:27.31,2,9.23,1:27.32,3,9.21,,4,9.06,1:27.50,6,9.21,1:27.83,5,9.09,1:27.64,7,9.28,1:28.01
1,8.81,1:36.12,2,8.94,1:36.26,4,9.08,,3,8.82,1:36.32,6,8.92,1:36.75,5,8.89,1:36.53,7,9.26,1:37.27
2,8.96,1:45.08,4,8.99,1:45.25,5,8.98,,1,8.74,1:45.06,6,9.18,1:45.93,3,8.71,1:45.24,7,9.55,1:46.82
2,9.00,1:54.08,4,9.36,1:54.61,5,9.21,,1,8.74,1:53.80,6,9.61,1:55.54,3,8.86,1:54.10,7,9.97,1:56.79
2,9.13,2:03.21,4,10.16,2:04.77,5,10.27,,1,8.92,2:02.72,6,10.16,2:05.70,3,9.19,2:03.29,7,10.51,2:07.30
2,9.32,2:12.53,5,10.68,2:15.45,4,10.34,,1,9.25,2:11.97,6,10.82,2:16.52,3,9.34,2:12.63,7,10.79,2:18.09
