Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
2,13.17,13.17,1,13.06,13.06,4,13.43,13.43,3,13.32,13.32
2,10.40,23.57,1,10.42,23.48,4,10.38,23.81,3,10.36,23.68
2,10.12,33.69,1,10.11,33.59,4,10.11,33.92,3,10.02,33.70
2,9.37,43.06,1,9.39,42.98,4,9.48,43.40,3,9.49,43.19
1,8.90,51.96,2,9.07,52.05,4,8.91,52.31,3,9.04,52.23
1,8.99,1:00.95,4,9.42,1:01.47,2,8.77,1:01.08,3,9.02,1:01.25
1,8.96,1:09.91,4,8.99,1:10.46,2,8.86,1:09.94,3,8.96,1:10.21
2,8.99,1:18.90,4,8.87,1:19.33,1,8.87,1:18.81,3,9.11,1:19.32
2,9.22,1:28.112,3,9.32,1:28.650,1,9.20,1:28.010,4,9.64,1:28.957
