PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,Michal CUJA POSITION,Michal CUJA LAP TIME,Michal CUJA ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME
1,15.69,15.69,3,15.97,15.97,2,15.84,15.84,4,16.16,16.16
1,12.59,28.28,4,12.54,28.51,3,12.58,28.42,2,12.21,28.37
1,11.03,39.31,4,11.14,39.65,3,11.07,39.49,2,10.96,39.33
1,10.44,49.75,4,10.44,50.09,3,10.47,49.96,2,10.51,49.84
2,10.40,1:00.15,4,10.30,1:00.39,3,10.28,1:00.24,1,10.22,1:00.06
2,10.02,1:10.17,4,10.14,1:10.53,3,10.03,1:10.27,1,10.01,1:10.07
2,9.62,1:19.79,4,10.10,1:20.63,3,9.64,1:19.91,1,9.61,1:19.68
2,9.45,1:29.24,4,10.38,1:31.01,3,9.47,1:29.38,1,9.44,1:29.12
2,9.64,1:38.875,4,10.87,1:41.874,3,9.62,1:38.991,1,9.67,1:38.785
