Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,WANG Hong Yang POSITION,WANG Hong Yang LAP TIME,WANG Hong Yang ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
1,6.61,6.61,2,6.76,6.76,3,6.86,6.86,4,7.21,7.21
1,9.05,15.66,2,8.94,15.71,3,8.98,15.84,4,9.07,16.29
1,8.53,24.20,3,8.78,24.49,2,8.50,24.35,4,8.81,25.10
2,8.73,32.93,3,8.67,33.17,1,8.56,32.91,4,9.11,34.21
2,9.07,41.991,3,9.39,42.553,1,8.91,41.817,4,9.83,44.031
