Anita NAGAY POSITION,Anita NAGAY LAP TIME,Anita NAGAY ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,SONG Yang POSITION,SONG Yang LAP TIME,SONG Yang ELAPSED TIME,Maria GARKOVA POSITION,Maria GARKOVA LAP TIME,Maria GARKOVA ELAPSED TIME
2,15.49,15.49,4,15.73,15.73,1,15.37,15.37,3,15.70,15.70,5,15.92,15.92
3,11.59,27.08,1,10.99,26.72,2,11.60,26.97,4,11.54,27.24,5,11.52,27.44
3,10.00,37.08,1,10.09,36.81,2,9.98,36.95,4,9.97,37.21,5,10.10,37.54
3,9.90,46.98,1,9.98,46.79,2,9.93,46.88,4,9.89,47.10,5,10.06,47.60
3,10.06,57.04,2,10.04,56.83,1,9.93,56.81,4,10.00,57.10,5,10.60,58.20
3,9.79,1:06.83,4,10.22,1:07.05,1,9.38,1:06.19,2,9.47,1:06.57,5,11.07,1:09.27
3,10.16,1:16.99,4,10.27,1:17.32,1,9.43,1:15.62,2,9.18,1:15.75,5,11.74,1:21.01
3,10.49,1:27.48,4,10.48,1:27.80,2,9.53,1:25.15,1,9.32,1:25.07,5,12.56,1:33.57
3,10.85,1:38.33,4,10.69,1:38.49,2,9.65,1:34.80,1,9.67,1:34.74,5,13.04,1:46.61
