BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
2,13.79,13.79,3,13.90,13.90,4,14.01,14.01,1,13.64,13.64
2,10.92,24.71,4,10.95,24.85,3,10.76,24.77,1,10.88,24.52
2,9.66,34.37,4,9.82,34.67,1,9.49,34.26,3,10.02,34.54
1,9.85,44.22,4,9.88,44.55,2,9.96,44.22,3,9.86,44.40
1,9.66,53.88,4,9.63,54.18,2,9.75,53.97,3,9.66,54.06
1,9.66,1:03.54,4,9.65,1:03.83,3,9.66,1:03.63,2,9.52,1:03.58
2,9.11,1:12.65,4,9.09,1:12.92,3,9.14,1:12.77,1,9.00,1:12.58
2,9.11,1:21.76,4,9.06,1:21.98,3,9.10,1:21.87,1,9.06,1:21.64
2,9.37,1:31.129,3,9.31,1:31.281,4,9.57,1:31.439,1,9.42,1:31.056
