Marielle LOOTSMA POSITION,Marielle LOOTSMA LAP TIME,Marielle LOOTSMA ELAPSED TIME,Zuzana JURISOVA POSITION,Zuzana JURISOVA LAP TIME,Zuzana JURISOVA ELAPSED TIME,Celine LECOMPERE POSITION,Celine LECOMPERE LAP TIME,Celine LECOMPERE ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Renata KARABOVA POSITION,Renata KARABOVA LAP TIME,Renata KARABOVA ELAPSED TIME
1,9.413,9.413,4,9.860,9.860,3,9.715,9.715,2,9.585,9.585,6,10.080,10.080,5,9.938,9.938
2,13.819,23.231,6,13.736,23.595,3,13.625,23.339,5,13.856,23.441,1,13.073,23.152,4,13.444,23.382
2,11.938,35.169,5,11.631,35.226,1,11.653,34.992,4,11.783,35.223,3,12.030,35.182,6,11.922,35.303
2,11.981,47.149,4,11.958,47.183,3,12.159,47.150,6,12.092,47.315,1,11.899,47.080,5,11.992,47.294
4,11.585,58.734,5,11.672,58.855,1,11.278,58.428,3,11.388,58.702,2,11.474,58.554,6,11.741,59.035
1,10.699,1:09.433,4,11.058,1:09.913,2,11.088,1:09.515,5,11.225,1:09.927,3,11.213,1:09.767,6,11.065,1:10.099
2,11.106,1:20.538,5,11.084,1:20.997,1,10.985,1:20.500,4,10.993,1:20.919,3,11.050,1:20.817,6,10.916,1:21.015
1,11.212,1:31.749,5,11.301,1:32.297,2,11.285,1:31.784,4,11.315,1:32.234,3,11.231,1:32.047,6,11.512,1:32.527
1,10.870,1:42.619,4,10.701,1:42.998,2,10.936,1:42.719,5,10.822,1:43.056,3,10.847,1:42.893,6,10.714,1:43.240
1,10.384,1:53.003,4,10.480,1:53.477,2,10.285,1:53.004,5,10.518,1:53.573,3,10.442,1:53.335,6,10.963,1:54.203
1,10.276,2:03.278,4,10.239,2:03.716,2,10.333,2:03.337,5,10.253,2:03.826,3,10.201,2:03.535,6,11.271,2:05.473
1,10.273,2:13.551,4,10.340,2:14.055,2,10.263,2:13.599,5,10.376,2:14.202,3,10.208,2:13.742,6,11.605,2:17.077
2,10.401,2:23.951,4,10.452,2:24.507,3,10.422,2:24.021,5,10.549,2:24.751,1,9.886,2:23.628,6,12.129,2:29.206
3,11.04,2:34.982,4,11.01,2:35.509,2,10.55,2:34.571,5,11.12,2:35.871,1,10.03,2:33.651,6,12.27,2:41.473
