Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME
3,10.46,10.46,1,10.14,10.14,5,10.62,10.62,4,10.59,10.59,2,10.31,10.31
4,15.98,26.44,2,15.82,25.96,1,14.99,25.61,5,16.10,26.69,3,15.83,26.14
4,13.22,39.66,2,13.49,39.45,1,13.83,39.44,5,13.22,39.91,3,13.50,39.64
3,12.42,52.08,1,12.52,51.97,4,12.76,52.20,2,12.15,52.06,5,12.59,52.23
3,11.73,1:03.81,2,11.71,1:03.68,4,11.72,1:03.92,1,11.49,1:03.55,5,11.83,1:04.06
5,11.75,1:15.56,2,11.41,1:15.09,4,11.37,1:15.29,1,11.39,1:14.94,3,11.23,1:15.29
5,10.50,1:26.06,2,10.41,1:25.50,3,10.39,1:25.68,1,10.45,1:25.39,4,10.76,1:26.05
3,9.68,1:35.74,2,10.23,1:35.73,4,10.15,1:35.83,1,10.23,1:35.62,5,10.27,1:36.32
1,9.59,1:45.33,3,9.79,1:45.52,4,9.81,1:45.64,2,9.81,1:45.43,5,10.17,1:46.49
2,9.85,1:55.18,3,9.69,1:55.21,4,9.82,1:55.46,1,9.61,1:55.04,5,10.45,1:56.94
3,9.55,2:04.73,2,9.44,2:04.65,4,9.77,2:05.23,1,9.59,2:04.63,5,10.52,2:07.46
3,9.52,2:14.25,1,9.26,2:13.91,4,10.17,2:15.40,2,9.40,2:14.03,5,10.92,2:18.38
3,9.54,2:23.79,2,9.25,2:23.16,4,10.67,2:26.07,1,9.12,2:23.15,5,11.42,2:29.80
3,10.20,2:33.982,2,9.56,2:32.719,4,11.51,2:37.579,1,9.42,2:32.566,5,11.35,2:41.150
