Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME
4,8.87,8.87,3,8.73,8.73,5,9.00,9.00,2,8.62,8.62,1,8.57,8.57,6,9.26,9.26
4,12.06,20.93,3,12.08,20.81,5,12.05,21.05,1,11.91,20.53,2,12.12,20.69,6,11.91,21.17
4,11.52,32.45,3,11.53,32.34,5,11.53,32.58,1,11.56,32.09,2,11.49,32.18,6,11.57,32.74
4,11.24,43.69,3,11.23,43.57,5,11.23,43.81,1,11.21,43.30,2,11.26,43.44,6,11.19,43.93
4,10.51,54.20,3,10.57,54.14,5,10.43,54.24,1,10.59,53.89,2,10.59,54.03,6,10.50,54.43
5,9.90,1:04.10,4,9.80,1:03.94,1,9.49,1:03.73,3,10.04,1:03.93,2,9.81,1:03.84,6,9.78,1:04.21
4,9.84,1:13.94,3,9.88,1:13.82,1,9.90,1:13.63,5,10.12,1:14.05,2,9.89,1:13.73,6,9.96,1:14.17
4,9.89,1:23.83,3,9.93,1:23.75,1,9.91,1:23.54,5,9.86,1:23.91,2,9.91,1:23.64,6,9.86,1:24.03
1,9.54,1:33.37,4,9.86,1:33.61,3,9.89,1:33.43,5,9.81,1:33.72,2,9.76,1:33.40,6,9.78,1:33.81
5,9.68,1:43.05,2,9.23,1:42.84,3,9.50,1:42.93,4,9.31,1:43.03,1,9.28,1:42.68,6,9.35,1:43.16
5,9.52,1:52.57,2,9.40,1:52.24,3,9.41,1:52.34,4,9.43,1:52.46,1,9.46,1:52.14,6,9.49,1:52.65
5,9.32,2:01.89,2,9.33,2:01.57,3,9.38,2:01.72,6,9.43,2:01.89,1,9.28,2:01.42,4,9.15,2:01.80
4,9.28,2:11.17,3,9.21,2:10.78,5,9.47,2:11.19,6,9.67,2:11.56,1,9.12,2:10.54,2,8.82,2:10.62
4,9.79,2:20.954,3,9.59,2:20.366,5,10.09,2:21.280,6,9.96,2:21.519,1,9.34,2:19.876,2,9.51,2:20.126
