BODO Juraj POSITION,BODO Juraj LAP TIME,BODO Juraj ELAPSED TIME,Zsolt KALAMAR KERTESZ POSITION,Zsolt KALAMAR KERTESZ LAP TIME,Zsolt KALAMAR KERTESZ ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME
1,13.844,13.844,4,14.186,14.186,3,14.080,14.080,2,14.068,14.068
1,10.596,24.439,4,10.574,24.760,2,10.534,24.614,3,10.581,24.648
1,10.366,34.805,4,10.364,35.123,3,10.428,35.041,2,10.316,34.964
1,10.317,45.122,2,10.207,45.329,4,10.544,45.584,3,10.368,45.332
3,10.008,55.129,4,9.804,55.132,1,9.111,54.695,2,9.582,54.913
4,10.036,1:05.164,3,9.938,1:05.069,1,9.698,1:04.392,2,9.646,1:04.558
4,10.183,1:15.347,3,9.899,1:14.967,1,10.068,1:14.460,2,10.074,1:14.632
4,10.523,1:25.869,3,10.360,1:25.327,1,10.012,1:24.472,2,9.996,1:24.628
4,10.73,1:36.599,3,10.33,1:35.652,1,9.66,1:34.124,2,9.59,1:34.214
