Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,PARK Jin-Hwan POSITION,PARK Jin-Hwan LAP TIME,PARK Jin-Hwan ELAPSED TIME
2,6.75,6.75,3,6.83,6.83,1,6.52,6.52,4,7.00,7.00
2,8.95,15.71,3,8.89,15.72,1,8.91,15.43,4,8.93,15.94
2,8.79,24.51,3,8.79,24.51,1,9.03,24.47,4,8.73,24.68
1,9.03,33.55,4,9.29,33.81,2,9.16,33.63,3,8.98,33.66
1,9.45,42.991,0,,DQ,2,9.62,43.243,3,9.68,43.337
