PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME
1,6.74,6.74,2,6.86,6.86,3,6.95,6.95,4,7.13,7.13
1,8.93,15.67,2,8.88,15.74,3,8.89,15.84,4,8.82,15.95
1,8.48,24.15,4,8.70,24.44,2,8.39,24.23,3,8.35,24.30
2,8.59,32.74,4,8.48,32.92,1,8.41,32.64,3,8.54,32.84
2,8.58,41.318,4,36.44,1:09.359,1,8.67,41.302,3,8.64,41.475
