J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
2,6.96,6.96,3,7.07,7.07,1,6.87,6.87
2,9.06,16.02,3,9.03,16.10,1,9.04,15.91
2,8.45,24.47,3,8.46,24.56,1,8.47,24.38
3,8.69,33.16,2,8.47,33.03,1,8.55,32.93
3,8.67,41.829,2,8.68,41.701,1,8.73,41.654
