SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME
2,9.45,9.45,1,9.28,9.28,3,9.60,9.60,5,9.95,9.95,4,9.83,9.83,6,10.10,10.10
2,13.01,22.46,1,13.07,22.35,3,12.97,22.57,5,12.82,22.77,4,12.79,22.62,6,12.78,22.88
2,11.92,34.38,1,11.89,34.24,3,11.96,34.53,6,12.04,34.81,4,12.07,34.69,5,11.89,34.77
1,10.69,45.07,2,10.94,45.18,3,10.75,45.28,6,10.78,45.59,5,10.82,45.51,4,10.62,45.39
1,10.79,55.86,2,10.75,55.93,3,10.80,56.08,6,10.76,56.35,5,10.70,56.21,4,10.80,56.19
1,10.22,1:06.08,2,10.17,1:06.10,5,10.32,1:06.40,4,9.98,1:06.33,3,10.00,1:06.21,6,10.34,1:06.53
1,10.17,1:16.25,2,10.21,1:16.31,5,10.23,1:16.63,4,10.15,1:16.48,3,10.17,1:16.38,6,10.20,1:16.73
1,10.49,1:26.74,3,10.50,1:26.81,5,10.49,1:27.12,4,10.51,1:26.99,2,10.42,1:26.80,6,10.52,1:27.25
1,10.17,1:36.91,3,10.25,1:37.06,5,10.15,1:37.27,4,10.18,1:37.17,2,10.14,1:36.94,6,10.15,1:37.40
2,10.35,1:47.26,3,10.31,1:47.37,5,10.36,1:47.63,4,10.33,1:47.50,1,10.22,1:47.16,6,10.35,1:47.75
1,10.11,1:57.37,3,10.22,1:57.59,5,10.22,1:57.85,4,10.22,1:57.72,2,10.31,1:57.47,6,10.23,1:57.98
1,9.85,2:07.22,3,9.88,2:07.47,5,9.94,2:07.79,4,9.83,2:07.55,2,9.86,2:07.33,6,10.01,2:07.99
1,9.74,2:16.96,4,10.27,2:17.74,5,10.07,2:17.86,3,9.80,2:17.35,2,9.75,2:17.08,6,10.09,2:18.08
1,9.80,2:26.759,4,10.30,2:28.035,5,10.45,2:28.303,3,9.69,2:27.035,2,9.82,2:26.900,6,10.35,2:28.422
