Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Zbigniew BRODKA POSITION,Zbigniew BRODKA LAP TIME,Zbigniew BRODKA ELAPSED TIME
2,7.020,7.020,1,6.552,6.552,4,7.189,7.189,3,7.156,7.156
3,9.290,16.310,1,9.216,15.768,2,9.061,16.250,4,9.345,16.501
4,9.076,25.385,1,8.983,24.750,3,8.772,25.021,2,8.385,24.885
3,9.237,34.621,1,8.985,33.734,2,8.962,33.983,4,10.044,34.929
3,9.70,44.318,1,9.38,43.107,2,9.20,43.180,4,10.07,44.992
