AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
2,6.84,6.84,3,7.00,7.00,4,7.06,7.06,1,6.81,6.81
3,9.32,16.16,2,9.05,16.05,4,9.18,16.24,1,9.07,15.88
4,9.12,25.28,2,8.65,24.70,3,9.00,25.24,1,8.48,24.36
4,9.12,34.40,2,8.80,33.50,3,8.96,34.20,1,8.65,33.01
4,9.82,44.218,2,9.24,42.737,3,9.32,43.513,1,8.94,41.944
