Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,SIMON_FALSCH Jeffrey POSITION,SIMON_FALSCH Jeffrey LAP TIME,SIMON_FALSCH Jeffrey ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME
1,7.07,7.07,2,7.18,7.18,3,7.30,7.30,4,7.47,7.47
2,9.60,16.67,3,9.51,16.69,1,9.36,16.66,4,9.36,16.83
1,9.11,25.78,3,9.29,25.98,2,9.14,25.80,4,9.33,26.16
1,8.97,34.75,2,8.96,34.94,3,9.20,35.00,4,9.24,35.40
2,9.35,44.098,1,9.01,43.948,3,9.40,44.394,4,9.53,44.930
