Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME
1,6.77,6.77,2,6.81,6.81,3,6.96,6.96,4,7.10,7.10
1,8.78,15.55,2,8.80,15.61,3,8.86,15.82,4,8.80,15.90
2,8.41,23.96,1,8.32,23.93,3,8.30,24.12,4,8.32,24.22
2,8.58,32.54,1,8.45,32.38,3,8.52,32.64,4,8.49,32.71
2,8.66,41.197,1,8.60,40.979,3,8.63,41.262,4,8.62,41.321
