BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
1,6.84,6.84,2,7.06,7.06,4,7.23,7.23,3,7.22,7.22
1,9.04,15.88,2,9.01,16.07,4,9.39,16.62,3,9.10,16.32
1,8.64,24.52,2,8.53,24.60,4,9.12,25.74,3,8.64,24.96
1,8.70,33.22,2,8.64,33.24,4,25.95,51.69,3,8.82,33.78
2,9.07,42.284,1,8.71,41.942,4,18.70,1:10.385,3,9.12,42.891
