Zsuzsanna KERCSO MAGOS POSITION,Zsuzsanna KERCSO MAGOS LAP TIME,Zsuzsanna KERCSO MAGOS ELAPSED TIME,Kristina VUTEVA POSITION,Kristina VUTEVA LAP TIME,Kristina VUTEVA ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME
2,8.52,8.52,4,8.90,8.90,5,9.03,9.03,3,8.64,8.64,6,9.33,9.33,1,8.47,8.47
3,12.17,20.69,5,12.00,20.90,6,11.93,20.96,4,12.16,20.80,2,11.34,20.67,1,12.16,20.63
3,10.83,31.52,6,10.92,31.82,5,10.71,31.67,4,10.80,31.60,1,10.71,31.38,2,10.81,31.44
4,11.64,43.16,6,11.57,43.39,5,11.59,43.26,2,11.44,43.04,1,11.62,43.00,3,11.65,43.09
5,11.00,54.16,6,11.02,54.41,4,10.85,54.11,1,10.88,53.92,2,11.00,54.00,3,10.98,54.07
5,10.54,1:04.70,6,10.50,1:04.91,2,10.28,1:04.39,1,10.40,1:04.32,3,10.50,1:04.50,4,10.51,1:04.58
5,10.49,1:15.19,6,10.40,1:15.31,2,10.47,1:14.86,1,10.44,1:14.76,3,10.49,1:14.99,4,10.50,1:15.08
5,10.39,1:25.58,6,10.54,1:25.85,3,10.49,1:25.35,1,10.23,1:24.99,2,10.20,1:25.19,4,10.31,1:25.39
5,10.56,1:36.14,6,10.48,1:36.33,4,10.25,1:35.60,1,10.24,1:35.23,2,10.14,1:35.33,3,10.00,1:35.39
5,10.77,1:46.91,6,10.72,1:47.05,4,10.24,1:45.84,1,10.13,1:45.36,2,10.06,1:45.39,3,10.15,1:45.54
6,11.13,1:58.04,5,10.91,1:57.96,4,10.50,1:56.34,1,10.02,1:55.38,3,10.16,1:55.55,2,9.97,1:55.51
6,11.35,2:09.39,5,11.18,2:09.14,4,10.98,2:07.32,1,9.88,2:05.26,3,10.23,2:05.78,2,9.81,2:05.32
5,11.56,2:20.95,6,11.82,2:20.96,4,11.60,2:18.92,2,9.97,2:15.23,3,9.93,2:15.71,1,9.81,2:15.13
5,11.99,2:32.931,6,12.14,2:33.097,4,12.33,2:31.244,2,10.29,2:25.512,3,10.22,2:25.922,1,9.87,2:25.000
