Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,LI Haonan POSITION,LI Haonan LAP TIME,LI Haonan ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,Benoit ANTERIEUX POSITION,Benoit ANTERIEUX LAP TIME,Benoit ANTERIEUX ELAPSED TIME
2,7.00,7.00,1,6.99,6.99,3,7.08,7.08,4,7.14,7.14
3,9.62,16.62,1,9.56,16.56,2,9.53,16.61,4,9.51,16.65
1,8.86,25.48,2,9.21,25.77,3,9.19,25.80,4,9.37,26.02
0,,,1,9.36,35.13,2,9.40,35.21,3,9.64,35.67
0,,DQ,1,9.64,44.765,2,9.62,44.827,3,10.34,46.001
