Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Gregory DURAND POSITION,Gregory DURAND LAP TIME,Gregory DURAND ELAPSED TIME
1,12.800,12.800,4,13.070,13.070,2,12.930,12.930,3,13.010,13.010
1,10.160,22.970,3,10.160,23.230,4,10.340,23.280,2,10.100,23.120
2,9.600,32.570,1,9.240,32.470,3,9.420,32.700,4,9.680,32.800
1,9.140,41.720,2,9.410,41.880,3,9.210,41.910,4,9.290,42.090
1,9.110,50.840,2,9.130,51.020,3,9.180,51.090,4,9.100,51.200
1,9.320,1:00.170,2,9.310,1:00.340,3,9.320,1:00.410,4,9.290,1:00.490
1,9.270,1:09.440,3,9.370,1:09.710,2,9.240,1:09.660,4,9.320,1:09.810
1,9.390,1:18.830,3,9.300,1:19.020,2,9.270,1:18.940,4,9.410,1:19.230
3,9.480,1:28.320,1,9.120,1:28.140,2,9.370,1:28.310,4,9.640,1:28.870
