AHN Se Jung POSITION,AHN Se Jung LAP TIME,AHN Se Jung ELAPSED TIME,Tunde BALAZS POSITION,Tunde BALAZS LAP TIME,Tunde BALAZS ELAPSED TIME,Jacqueline CHEN POSITION,Jacqueline CHEN LAP TIME,Jacqueline CHEN ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME
2,9.39,9.39,3,9.40,9.40,4,9.65,9.65,6,9.72,9.72,5,9.70,9.70,1,9.37,9.37
6,13.54,22.93,4,13.25,22.65,2,12.97,22.62,1,12.75,22.47,5,13.08,22.78,3,13.27,22.64
4,13.21,36.14,1,12.87,35.52,2,13.00,35.62,5,13.95,36.42,3,13.26,36.04,6,14.21,36.85
5,12.02,48.16,1,12.14,47.66,2,12.10,47.72,3,11.40,47.82,6,12.13,48.17,4,11.31,48.16
5,11.17,59.33,1,11.16,58.82,3,11.44,59.16,6,11.63,59.45,2,10.95,59.12,4,11.01,59.17
6,11.44,1:10.77,1,11.43,1:10.25,5,11.35,1:10.51,3,10.90,1:10.35,4,11.31,1:10.43,2,11.15,1:10.32
6,10.18,1:20.95,2,10.37,1:20.62,1,9.72,1:20.23,4,10.42,1:20.77,5,10.47,1:20.90,3,10.40,1:20.72
5,10.11,1:31.06,6,10.89,1:31.51,2,10.48,1:30.71,4,10.12,1:30.89,3,9.91,1:30.81,1,9.75,1:30.47
5,9.96,1:41.02,6,10.94,1:42.45,2,10.12,1:40.83,3,10.05,1:40.94,4,10.18,1:40.99,1,10.04,1:40.51
4,10.08,1:51.10,6,11.27,1:53.72,2,10.03,1:50.86,5,10.19,1:51.13,3,9.89,1:50.88,1,10.29,1:50.80
5,9.73,2:00.83,6,11.94,2:05.66,2,9.83,2:00.69,3,9.66,2:00.79,4,9.92,2:00.80,1,9.85,2:00.65
1,9.40,2:10.23,6,11.12,2:16.78,3,10.34,2:11.03,5,10.66,2:11.45,2,10.07,2:10.87,4,10.41,2:11.06
1,9.45,2:19.68,6,11.63,2:28.41,5,10.32,2:21.35,2,9.41,2:20.86,4,10.29,2:21.16,3,9.99,2:21.05
1,10.55,2:30.228,6,12.09,2:40.497,5,11.34,2:32.689,2,10.51,2:31.362,4,10.75,2:31.905,3,10.55,2:31.599
