Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME,Tineke den DULK POSITION,Tineke den DULK LAP TIME,Tineke den DULK ELAPSED TIME,Yulia SHISHKINA POSITION,Yulia SHISHKINA LAP TIME,Yulia SHISHKINA ELAPSED TIME,Samantha MORRISON POSITION,Samantha MORRISON LAP TIME,Samantha MORRISON ELAPSED TIME,Oliwia GAWLICA POSITION,Oliwia GAWLICA LAP TIME,Oliwia GAWLICA ELAPSED TIME
2,15.07,15.07,4,15.23,15.23,3,15.17,15.17,5,15.39,15.39,1,14.96,14.96
3,12.36,27.43,4,12.32,27.55,1,12.11,27.28,5,12.27,27.66,2,12.42,27.38
4,11.94,39.37,3,11.73,39.28,1,11.95,39.23,5,11.83,39.49,2,11.88,39.26
5,10.58,49.95,3,10.49,49.77,2,10.46,49.69,4,10.44,49.93,1,10.34,49.60
4,9.93,59.88,3,10.06,59.83,2,10.02,59.71,5,10.09,1:00.02,1,10.03,59.63
4,10.01,1:09.89,3,9.85,1:09.68,1,9.93,1:09.64,5,9.97,1:09.99,2,10.02,1:09.65
4,9.88,1:19.77,2,9.70,1:19.38,1,9.55,1:19.19,5,10.22,1:20.21,3,10.03,1:19.68
3,9.88,1:29.65,2,9.85,1:29.23,1,9.98,1:29.17,5,10.44,1:30.65,4,10.25,1:29.93
3,10.00,1:39.619,2,10.24,1:39.47,1,10.19,1:39.36,5,10.72,1:41.340,4,10.51,1:40.418
