KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME
1,13.04,13.04,2,13.14,13.14,3,13.27,13.27
1,9.37,22.41,2,9.41,22.55,3,9.41,22.68
1,9.40,31.81,2,9.34,31.89,3,9.30,31.98
1,9.52,41.33,2,9.50,41.39,3,9.52,41.50
1,9.48,50.81,2,9.53,50.92,3,9.54,51.04
1,9.50,1:00.31,2,9.57,1:00.49,3,9.56,1:00.60
1,9.40,1:09.71,2,9.34,1:09.83,3,9.32,1:09.92
1,9.18,1:18.89,2,9.22,1:19.05,3,9.24,1:19.16
1,9.29,1:28.18,2,9.22,1:28.27,3,9.26,1:28.42
1,9.48,1:37.66,2,9.43,1:37.70,3,9.37,1:37.79
1,9.58,1:47.24,2,9.64,1:47.34,3,9.68,1:47.47
1,9.58,1:56.82,2,9.57,1:56.91,3,9.59,1:57.06
1,9.30,2:06.12,2,9.36,2:06.27,3,9.30,2:06.36
1,9.24,2:15.36,2,9.20,2:15.47,3,9.29,2:15.65
1,9.31,2:24.67,2,9.23,2:24.70,3,9.25,2:24.90
1,9.48,2:34.15,2,9.53,2:34.23,3,14.49,2:39.39
1,9.58,2:43.73,2,9.61,2:43.84,3,10.38,2:49.77
1,9.67,2:53.40,2,9.80,2:53.64,3,10.09,2:59.86
1,9.19,3:02.59,2,9.54,3:03.18,3,9.40,3:09.26
1,9.44,3:12.03,2,9.23,3:12.41,3,9.82,3:19.08
1,9.32,3:21.35,2,9.12,3:21.53,3,10.21,3:29.29
1,9.39,3:30.74,2,9.26,3:30.79,3,9.91,3:39.20
1,9.46,3:40.20,2,9.45,3:40.24,3,9.97,3:49.17
1,9.38,3:49.58,2,9.52,3:49.76,3,9.78,3:58.95
1,9.37,3:58.95,2,9.44,3:59.20,3,9.85,4:08.80
1,9.53,4:08.48,2,9.43,4:08.63,3,9.65,4:18.45
1,9.22,4:17.699,2,9.26,4:17.886,3,9.68,4:28.124
