Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
1,13.150,13.150,4,13.430,13.430,3,13.390,13.390,2,13.210,13.210
1,10.360,23.520,2,10.190,23.630,4,10.270,23.660,3,10.430,23.640
2,10.130,33.650,1,10.000,33.630,4,10.090,33.760,3,10.070,33.710
3,10.040,43.690,1,10.000,43.630,2,9.900,43.660,4,10.200,43.920
1,9.930,53.620,2,10.030,53.670,3,10.150,53.820,4,9.950,53.870
1,9.560,1:03.190,2,9.660,1:03.340,3,9.530,1:03.360,4,9.720,1:03.600
1,9.640,1:12.830,3,9.650,1:12.990,2,9.600,1:12.960,4,9.940,1:13.540
2,9.710,1:22.550,1,9.510,1:22.500,3,9.660,1:22.630,4,10.110,1:23.650
3,10.030,1:32.580,1,9.980,1:32.490,2,9.900,1:32.530,4,10.880,1:34.540
