CHANG Hyun Woo POSITION,CHANG Hyun Woo LAP TIME,CHANG Hyun Woo ELAPSED TIME,Nicolas PERREAULT POSITION,Nicolas PERREAULT LAP TIME,Nicolas PERREAULT ELAPSED TIME,JUNG Hok Young POSITION,JUNG Hok Young LAP TIME,JUNG Hok Young ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME
1,14.15,14.15,2,14.27,14.27,4,14.50,14.50,3,14.40,14.40,5,14.67,14.67
1,10.38,24.53,3,10.35,24.62,2,10.09,24.59,4,10.33,24.73,5,10.25,24.92
2,9.32,33.85,3,9.33,33.95,1,9.14,33.73,4,9.31,34.04,5,9.21,34.13
2,9.33,43.18,4,9.43,43.38,1,9.31,43.04,3,9.27,43.31,5,9.29,43.42
2,9.18,52.36,5,9.28,52.66,1,9.15,52.19,3,9.15,52.46,4,9.14,52.56
3,9.05,1:01.41,5,8.95,1:01.61,1,9.00,1:01.19,2,8.85,1:01.31,4,8.94,1:01.50
3,8.71,1:10.12,5,8.79,1:10.40,1,8.63,1:09.82,2,8.64,1:09.95,4,8.80,1:10.30
3,8.45,1:18.57,5,8.73,1:19.13,1,8.58,1:18.40,2,8.54,1:18.49,4,8.67,1:18.97
3,8.97,1:27.54,5,9.10,1:28.23,1,8.87,1:27.27,2,8.84,1:27.33,4,9.00,1:27.97
