Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME
1,15.18,15.18,2,15.31,15.31,4,15.50,15.50,3,15.45,15.45
1,11.98,27.16,3,11.97,27.28,4,12.00,27.50,2,11.72,27.17
2,10.69,37.85,3,10.58,37.86,4,10.55,38.05,1,10.54,37.71
3,9.93,47.78,2,9.76,47.62,4,9.89,47.94,1,9.81,47.52
2,9.23,57.01,3,9.42,57.04,4,9.31,57.25,1,9.41,56.93
3,9.10,1:06.11,2,8.97,1:06.01,4,9.30,1:06.55,1,8.98,1:05.91
3,9.01,1:15.12,2,9.00,1:15.01,4,9.51,1:16.06,1,9.03,1:14.94
2,8.99,1:24.11,3,9.28,1:24.29,4,9.83,1:25.89,1,9.01,1:23.95
2,9.22,1:33.324,3,9.37,1:33.659,4,10.27,1:36.155,1,9.14,1:33.084
