CHOE Un Song POSITION,CHOE Un Song LAP TIME,CHOE Un Song ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
5,10.81,10.81,3,10.53,10.53,6,10.88,10.88,7,11.10,11.10,4,10.72,10.72,2,10.46,10.46,1,10.17,10.17
6,11.76,22.57,3,11.75,22.28,5,11.56,22.44,7,11.57,22.67,4,11.64,22.36,2,11.74,22.20,1,11.94,22.11
6,11.81,34.38,3,11.71,33.99,5,11.77,34.21,7,11.83,34.50,4,11.75,34.11,2,11.70,33.90,1,11.68,33.79
7,11.93,46.31,3,11.91,45.90,5,11.91,46.12,6,11.73,46.23,4,11.92,46.03,2,11.90,45.80,1,11.89,45.68
7,11.09,57.40,5,11.20,57.10,6,11.12,57.24,1,10.48,56.71,4,10.90,56.93,3,11.11,56.91,2,11.16,56.84
7,10.63,1:08.03,6,10.73,1:07.83,5,10.46,1:07.70,2,10.69,1:07.40,4,10.65,1:07.58,1,10.33,1:07.24,3,10.65,1:07.49
7,10.37,1:18.40,6,10.42,1:18.25,5,10.43,1:18.13,4,10.67,1:18.07,3,10.38,1:17.96,2,10.69,1:17.93,1,10.32,1:17.81
7,10.12,1:28.52,6,10.12,1:28.37,3,9.95,1:28.08,5,10.18,1:28.25,2,10.07,1:28.03,4,10.19,1:28.12,1,10.12,1:27.93
7,10.07,1:38.59,5,9.97,1:38.34,3,9.99,1:38.07,6,10.20,1:38.45,2,9.97,1:38.00,4,10.10,1:38.22,1,9.98,1:37.91
7,9.98,1:48.57,5,10.00,1:48.34,2,9.91,1:47.98,6,10.01,1:48.46,3,10.08,1:48.08,4,9.99,1:48.21,1,10.00,1:47.91
7,9.58,1:58.15,5,9.66,1:58.00,2,9.54,1:57.52,5,9.54,1:58.00,1,9.36,1:57.44,4,9.63,1:57.84,2,9.61,1:57.52
6,9.08,2:07.23,7,9.37,2:07.37,2,9.18,2:06.70,4,8.82,2:06.82,1,9.20,2:06.64,5,9.13,2:06.97,3,9.29,2:06.81
5,8.91,2:16.14,7,9.65,2:17.02,3,9.00,2:15.70,1,8.77,2:15.59,2,8.99,2:15.63,6,9.27,2:16.24,4,8.97,2:15.78
5,9.24,2:25.384,7,10.16,2:27.185,4,9.04,2:24.748,1,8.87,2:24.46,2,9.04,2:24.67,6,9.40,2:25.649,3,8.96,2:24.743
