ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,Gloria IORIATTI POSITION,Gloria IORIATTI LAP TIME,Gloria IORIATTI ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME
3,10.67,10.67,5,10.97,10.97,4,10.80,10.80,6,11.20,11.20,2,10.39,10.39,1,10.25,10.25,7,11.38,11.38
5,14.42,25.09,4,14.00,24.97,6,14.42,25.22,7,14.13,25.33,3,14.50,24.89,2,14.53,24.78,1,13.21,24.59
5,11.74,36.83,4,11.70,36.67,6,11.75,36.97,7,11.75,37.08,3,11.74,36.63,2,11.78,36.56,1,11.87,36.46
6,11.14,47.97,4,11.17,47.84,7,11.08,48.05,5,10.82,47.90,3,11.12,47.75,2,11.09,47.65,1,11.07,47.53
6,10.36,58.33,5,10.38,58.22,7,10.40,58.45,1,9.96,57.86,3,10.34,58.09,4,10.45,58.10,2,10.43,57.96
5,9.74,1:08.07,6,9.98,1:08.20,7,9.85,1:08.30,2,9.94,1:07.80,2,9.71,1:07.80,4,9.88,1:07.98,1,9.77,1:07.73
5,9.89,1:17.96,6,9.83,1:18.03,7,9.82,1:18.12,3,9.96,1:17.76,2,9.85,1:17.65,4,9.87,1:17.85,1,9.82,1:17.55
3,10.20,1:28.16,5,10.29,1:28.32,6,10.30,1:28.42,1,10.25,1:28.01,7,11.05,1:28.70,4,10.35,1:28.20,2,10.55,1:28.10
2,10.48,1:38.64,5,10.56,1:38.88,6,10.62,1:39.04,1,10.59,1:38.60,7,10.43,1:39.13,4,10.59,1:38.79,3,10.58,1:38.68
1,9.81,1:48.45,5,10.03,1:48.91,6,10.02,1:49.06,2,10.02,1:48.62,7,10.05,1:49.18,3,9.96,1:48.75,4,10.19,1:48.87
1,9.75,1:58.20,5,9.95,1:58.86,6,9.90,1:58.96,2,9.73,1:58.35,7,10.03,1:59.21,3,9.82,1:58.57,4,9.80,1:58.67
1,9.65,2:07.85,6,10.03,2:08.89,5,9.88,2:08.84,2,9.60,2:07.95,7,10.52,2:09.73,3,9.77,2:08.34,4,9.73,2:08.40
1,9.78,2:17.63,5,10.35,2:19.24,4,10.20,2:19.04,2,9.71,2:17.66,7,11.53,2:21.26,3,10.24,2:18.58,6,12.29,2:20.69
1,10.09,2:27.72,5,10.86,2:30.108,3,10.18,2:29.221,2,10.52,2:28.18,6,12.64,2:33.904,4,10.65,2:29.233,7,16.16,2:36.850
