Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME
3,7.14,7.14,1,6.78,6.78,2,6.96,6.96,4,7.30,7.30
3,9.56,16.70,1,9.47,16.25,2,9.41,16.37,4,9.58,16.88
3,9.15,25.85,1,9.00,25.25,2,9.12,25.49,4,9.00,25.88
4,9.14,34.99,1,8.98,34.23,2,8.91,34.40,3,8.95,34.83
4,9.27,44.252,1,9.22,43.449,2,9.31,43.709,3,9.22,44.043
