Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME
3,13.22,13.22,1,12.84,12.84,2,12.99,12.99,4,13.53,13.53
3,9.73,22.95,1,9.86,22.70,2,9.85,22.84,4,9.53,23.06
4,10.10,33.05,2,9.90,32.60,1,9.67,32.51,3,9.78,32.84
4,9.77,42.82,2,9.73,42.33,1,9.73,42.24,3,9.75,42.59
4,9.70,52.52,2,9.75,52.08,1,9.74,51.98,3,9.69,52.28
4,9.79,1:02.31,2,9.88,1:01.96,1,9.75,1:01.73,3,9.83,1:02.11
4,10.02,1:12.33,2,10.09,1:12.05,1,9.91,1:11.64,3,10.01,1:12.12
4,10.59,1:22.92,3,10.62,1:22.67,1,10.08,1:21.72,2,10.36,1:22.48
4,10.99,1:33.906,3,10.71,1:33.380,1,10.30,1:32.018,2,10.54,1:33.011
