Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME
2,13.81,13.81,3,13.93,13.93,1,13.79,13.79,4,14.07,14.07
2,10.76,24.57,3,10.66,24.59,1,10.75,24.54,4,10.64,24.71
2,9.97,34.54,3,10.02,34.61,1,9.96,34.50,4,10.00,34.71
2,9.88,44.42,4,10.12,44.73,3,10.02,44.52,1,9.56,44.27
3,9.79,54.21,4,9.58,54.31,2,9.55,54.07,1,9.67,53.94
3,9.28,1:03.49,4,9.26,1:03.57,2,9.27,1:03.34,1,9.31,1:03.25
2,8.73,1:12.22,4,8.81,1:12.38,3,8.89,1:12.23,1,8.84,1:12.09
2,8.74,1:20.96,3,9.07,1:21.45,4,10.15,1:22.38,1,8.75,1:20.84
2,8.77,1:29.727,3,8.97,1:30.412,4,11.38,1:33.753,1,8.78,1:29.613
