SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,DOAK Rikki POSITION,DOAK Rikki LAP TIME,DOAK Rikki ELAPSED TIME,CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
1,13.89,13.89,4,14.08,14.08,1,13.89,13.89,5,14.24,14.24,3,14.06,
1,9.73,23.62,2,9.56,23.64,3,9.82,23.71,5,9.73,23.97,4,9.71,
2,9.44,33.06,1,9.30,32.94,3,9.43,33.14,5,9.40,33.37,4,9.47,
3,9.68,42.74,2,9.68,42.62,1,9.39,42.53,5,9.60,42.97,4,9.60,
3,9.64,52.38,2,9.67,52.29,1,9.66,52.19,4,9.50,52.47,5,9.69,
3,9.61,1:01.99,2,9.61,1:01.90,1,9.62,1:01.81,5,9.83,1:02.30,4,9.62,
2,9.58,1:11.57,3,9.69,1:11.59,1,9.63,1:11.44,5,9.61,1:11.91,4,9.55,
1,9.25,1:20.82,3,9.85,1:21.44,2,9.62,1:21.06,4,9.76,1:21.67,5,20.37,
1,9.46,1:30.28,3,10.20,1:31.64,2,9.77,1:30.83,4,10.25,1:31.923,5,21.15,
