Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
3,9.35,9.35,4,9.53,9.53,2,9.24,9.24,7,9.96,9.96,5,9.68,9.68,1,8.97,8.97,6,9.82,9.82
3,12.02,21.37,4,11.95,21.48,2,12.00,21.24,7,11.93,21.89,5,11.95,21.63,1,12.12,21.09,6,11.92,21.74
3,11.08,32.45,4,11.11,32.59,2,11.10,32.34,7,11.12,33.01,5,11.10,32.73,1,11.13,32.22,6,11.10,32.84
3,10.80,43.25,4,10.81,43.40,2,10.83,43.17,6,10.66,43.67,5,10.83,43.56,1,10.83,43.05,6,10.83,43.67
5,10.51,53.76,3,10.18,53.58,4,10.50,53.67,1,9.74,53.41,6,10.29,53.85,2,10.42,53.47,7,10.23,53.90
5,9.96,1:03.72,2,9.88,1:03.46,4,9.93,1:03.60,1,9.92,1:03.33,6,9.98,1:03.83,3,10.01,1:03.48,7,10.02,1:03.92
3,9.71,1:13.43,3,9.97,1:13.43,1,9.65,1:13.25,2,10.01,1:13.34,5,9.61,1:13.44,7,10.59,1:14.07,6,9.71,1:13.63
2,9.50,1:22.93,5,9.82,1:23.25,1,9.61,1:22.86,3,9.64,1:22.98,4,9.67,1:23.11,7,11.21,1:25.28,5,9.62,1:23.25
2,9.51,1:32.44,6,9.56,1:32.81,1,9.51,1:32.37,4,9.55,1:32.53,5,9.55,1:32.66,7,11.54,1:36.82,3,9.21,1:32.46
3,9.40,1:41.84,6,9.33,1:42.14,2,9.37,1:41.74,4,9.39,1:41.92,5,9.36,1:42.02,7,11.89,1:48.71,1,8.89,1:41.35
5,9.75,1:51.59,6,9.47,1:51.61,2,9.49,1:51.23,3,9.52,1:51.44,4,9.48,1:51.50,7,12.88,2:01.59,1,9.22,1:50.57
4,9.68,2:01.27,6,9.99,2:01.60,2,9.64,2:00.87,5,9.99,2:01.43,3,9.67,2:01.17,7,12.53,2:14.12,1,9.49,2:00.06
4,9.75,2:11.02,6,9.77,2:11.37,2,9.75,2:10.62,5,9.69,2:11.12,3,9.83,2:11.00,7,12.30,2:26.42,1,9.99,2:10.05
3,9.53,2:20.552,5,9.78,2:21.153,0,9.81,2:20.43,4,9.59,2:20.713,6,10.69,2:21.692,7,12.08,2:38.507,0,10.36,2:20.41
