Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,Dembereldavga DEMCHIGSUREN POSITION,Dembereldavga DEMCHIGSUREN LAP TIME,Dembereldavga DEMCHIGSUREN ELAPSED TIME,Matthew MAK POSITION,Matthew MAK LAP TIME,Matthew MAK ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME
2,10.53,10.53,1,10.32,10.32,5,11.00,11.00,6,11.12,11.12,4,10.80,10.80,3,10.70,10.70
2,16.95,27.48,1,16.97,27.29,5,16.69,27.69,6,16.65,27.77,4,16.86,27.66,3,16.85,27.55
3,16.81,44.29,1,16.82,44.11,6,16.77,44.46,5,16.67,44.44,2,16.57,44.23,4,16.85,44.40
3,15.99,1:00.28,2,15.99,1:00.10,6,16.23,1:00.69,5,16.11,1:00.55,1,15.70,59.93,4,16.02,1:00.42
3,15.95,1:16.23,2,15.92,1:16.02,6,15.91,1:16.60,5,15.94,1:16.49,1,15.97,1:15.90,4,15.94,1:16.36
4,16.04,1:32.27,2,16.04,1:32.06,6,15.91,1:32.51,5,15.90,1:32.39,1,15.98,1:31.88,3,15.84,1:32.20
3,14.24,1:46.51,4,14.50,1:46.56,6,14.34,1:46.85,5,14.35,1:46.74,2,14.52,1:46.40,1,14.20,1:46.40
1,10.50,1:57.01,3,10.65,1:57.21,5,11.12,1:57.97,6,11.46,1:58.20,4,11.41,1:57.81,2,10.69,1:57.09
1,10.21,2:07.22,2,10.13,2:07.34,6,23.40,2:21.37,4,11.28,2:09.48,5,22.61,2:20.42,3,10.38,2:07.47
1,10.02,2:17.24,2,9.96,2:17.30,6,14.10,2:35.47,4,11.79,2:21.27,5,14.81,2:35.23,3,9.97,2:17.44
2,9.58,2:26.82,1,9.40,2:26.70,6,12.18,2:47.65,4,12.69,2:33.96,5,12.31,2:47.54,3,9.56,2:27.00
2,9.56,2:36.38,1,9.58,2:36.28,5,11.00,2:58.65,4,14.07,2:48.03,6,11.24,2:58.78,3,9.51,2:36.51
2,9.70,2:46.08,1,9.67,2:45.95,6,11.76,3:10.41,4,13.68,3:01.71,5,11.47,3:10.25,3,9.73,2:46.24
2,9.92,2:55.998,1,9.93,2:55.876,0,,PEN,4,14.04,3:15.747,0,,notime,3,9.93,2:56.170
