Shotaro TANAKA POSITION,Shotaro TANAKA LAP TIME,Shotaro TANAKA ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Aslan DAUMOV POSITION,Aslan DAUMOV LAP TIME,Aslan DAUMOV ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
3,8.680,8.680,1,8.610,8.610,5,8.860,8.860,4,8.850,8.850,6,9.120,9.120,2,8.660,8.660
3,12.460,21.140,4,12.570,21.180,2,12.260,21.130,6,12.760,21.620,5,12.400,21.520,1,12.440,21.100
4,11.930,33.080,2,11.720,32.910,1,11.730,32.870,6,11.760,33.380,5,11.850,33.380,3,11.970,33.070
3,11.490,44.570,2,11.580,44.500,1,11.490,44.370,5,11.380,44.770,6,11.580,44.970,4,11.520,44.600
4,10.780,55.360,1,10.250,54.750,2,10.780,55.150,3,10.450,55.230,6,10.700,55.670,5,10.800,55.400
5,10.480,1:05.850,1,10.880,1:05.630,3,10.540,1:05.700,2,10.410,1:05.650,6,10.420,1:06.090,4,10.370,1:05.780
4,10.250,1:16.100,1,10.320,1:15.960,3,10.340,1:16.040,5,10.490,1:16.140,6,10.250,1:16.350,2,10.210,1:16.000
2,10.160,1:26.260,1,10.250,1:26.210,4,10.450,1:26.490,5,10.620,1:26.760,6,10.420,1:26.770,3,10.430,1:26.430
3,9.320,1:35.590,1,9.270,1:35.490,5,9.590,1:36.090,4,8.950,1:35.710,6,9.340,1:36.120,2,9.100,1:35.540
2,9.290,1:44.880,3,9.470,1:44.960,6,9.760,1:45.850,1,9.130,1:44.840,5,9.600,1:45.720,4,9.520,1:45.060
2,9.590,1:54.470,1,9.400,1:54.360,5,9.820,1:55.680,4,10.390,1:55.240,6,10.000,1:55.720,3,9.520,1:54.580
1,9.470,2:03.940,2,9.650,2:04.010,5,10.020,2:05.700,4,10.330,2:05.570,6,10.220,2:05.940,3,9.530,2:04.120
2,9.710,2:13.660,1,9.550,2:13.570,4,10.170,2:15.870,5,10.380,2:15.960,6,10.430,2:16.370,3,9.560,2:13.680
2,9.640,2:23.300,1,9.710,2:23.280,4,10.610,2:26.490,6,10.990,2:26.950,5,10.570,2:26.950,3,9.650,2:23.330
