KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME
6,10.69,10.69,4,10.39,10.39,7,10.77,10.77,5,10.53,10.53,2,10.22,10.22,3,10.26,10.26,1,10.11,10.11
7,14.06,24.75,1,13.62,24.01,4,13.61,24.38,2,13.59,24.12,5,14.21,24.43,6,14.40,24.66,3,14.17,24.28
7,11.35,36.10,2,11.49,35.50,4,11.37,35.75,1,11.22,35.34,5,11.43,35.86,6,11.34,36.00,3,11.32,35.60
7,10.99,47.09,2,11.00,46.50,4,10.99,46.74,1,10.99,46.33,5,10.98,46.84,6,10.95,46.95,3,11.00,46.60
7,10.49,57.58,2,10.54,57.04,4,10.53,57.27,1,10.53,56.86,5,10.53,57.37,6,10.56,57.51,3,10.55,57.15
7,9.70,1:07.28,2,9.73,1:06.77,4,9.73,1:07.00,1,9.81,1:06.67,5,9.74,1:07.11,6,9.69,1:07.20,3,9.75,1:06.90
4,9.28,1:16.56,3,9.73,1:16.50,6,9.68,1:16.68,1,9.71,1:16.38,7,9.65,1:16.76,2,9.27,1:16.47,5,9.67,1:16.57
5,9.03,1:25.59,2,8.93,1:25.43,6,9.00,1:25.68,4,9.19,1:25.57,7,9.05,1:25.81,1,8.81,1:25.28,3,8.95,1:25.52
5,9.43,1:35.02,2,9.28,1:34.71,7,9.37,1:35.05,4,9.36,1:34.93,6,9.22,1:35.03,1,9.34,1:34.62,3,9.26,1:34.78
5,9.21,1:44.23,3,9.27,1:43.98,7,9.42,1:44.47,4,9.21,1:44.14,6,9.34,1:44.37,2,9.30,1:43.92,1,9.06,1:43.84
5,9.00,1:53.23,2,8.98,1:52.96,7,8.96,1:53.43,4,9.08,1:53.22,6,8.95,1:53.32,3,9.09,1:53.01,1,8.91,1:52.75
3,8.54,2:01.77,2,8.68,2:01.64,6,8.94,2:02.37,7,9.20,2:02.42,5,8.79,2:02.11,4,8.99,2:02.00,1,8.80,2:01.55
3,8.99,2:10.76,2,9.02,2:10.66,6,9.09,2:11.46,7,9.18,2:11.60,4,8.79,2:10.90,5,9.10,2:11.10,1,9.02,2:10.57
3,8.95,2:19.71,2,8.92,2:19.58,6,9.32,2:20.789,7,9.46,2:21.062,4,8.95,2:19.85,5,9.15,2:20.257,1,8.95,2:19.52
