Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Thomas de WITTE POSITION,Thomas de WITTE LAP TIME,Thomas de WITTE ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Philip BROJAKA POSITION,Philip BROJAKA LAP TIME,Philip BROJAKA ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
1,8.602,8.602,5,9.151,9.151,4,8.927,8.927,3,8.762,8.762,2,8.686,8.686,6,9.467,9.467
1,11.650,20.252,5,11.662,20.813,4,11.742,20.669,2,11.746,20.508,3,11.884,20.570,6,11.592,21.059
1,11.347,31.598,5,11.298,32.110,3,11.069,31.738,4,11.347,31.855,2,11.132,31.701,6,11.294,32.353
1,11.112,42.710,5,11.276,43.386,3,11.185,42.923,2,10.936,42.791,4,11.411,43.112,6,11.349,43.701
1,10.886,53.595,5,10.740,54.126,2,10.908,53.831,4,11.282,54.072,3,10.948,54.059,6,10.740,54.441
1,10.814,1:04.408,5,10.774,1:04.899,4,10.892,1:04.722,2,10.586,1:04.657,3,10.644,1:04.703,6,10.760,1:05.200
1,10.354,1:14.762,5,10.154,1:15.053,2,10.276,1:14.998,3,10.369,1:15.026,4,10.346,1:15.048,6,9.963,1:15.163
3,9.829,1:24.590,6,9.972,1:25.025,2,9.523,1:24.521,1,9.341,1:24.367,4,9.854,1:24.902,5,9.860,1:25.023
1,9.479,1:34.068,4,9.629,1:34.653,3,9.881,1:34.401,2,9.879,1:34.245,5,9.769,1:34.670,6,10.420,1:35.443
1,9.448,1:43.516,4,9.239,1:43.891,3,9.370,1:43.771,2,9.417,1:43.661,5,9.404,1:44.073,6,32.145,2:07.587
1,9.439,1:52.954,4,9.452,1:53.343,3,9.545,1:53.315,2,9.581,1:53.242,5,9.612,1:53.685,6,12.162,2:19.749
1,9.650,2:02.604,3,9.337,2:02.679,4,9.620,2:02.934,2,9.372,2:02.613,5,9.603,2:03.287,6,10.972,2:30.721
2,9.670,2:12.274,1,9.543,2:12.221,5,10.782,2:13.716,3,9.705,2:12.318,4,9.914,2:13.201,6,11.102,2:41.822
2,9.98,2:22.246,1,9.69,2:21.903,5,10.58,2:24.295,3,9.94,2:22.255,4,10.49,2:23.685,6,13.29,2:55.104
