Andrej VALACH POSITION,Andrej VALACH LAP TIME,Andrej VALACH ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME
4,14.16,14.16,2,13.88,13.88,5,14.30,14.30,3,14.05,14.05,1,13.77,13.77
4,9.98,24.14,2,9.96,23.84,5,9.91,24.21,3,10.00,24.05,1,10.05,23.82
4,10.47,34.61,2,10.58,34.42,5,10.50,34.71,3,10.46,34.51,1,10.48,34.30
4,10.08,44.69,1,9.95,44.37,5,10.16,44.87,3,10.01,44.52,2,10.17,44.47
4,9.47,54.16,1,9.31,53.68,5,9.45,54.32,3,9.42,53.94,2,9.35,53.82
5,13.98,1:08.14,1,9.09,1:02.77,4,9.37,1:03.69,3,9.08,1:03.02,2,9.04,1:02.86
5,20.80,1:28.94,1,9.11,1:11.88,4,10.06,1:13.75,2,8.97,1:11.99,3,9.14,1:12.00
5,14.12,1:43.06,1,9.25,1:21.13,4,10.49,1:24.24,2,9.60,1:21.59,3,9.99,1:21.99
4,12.79,1:55.842,1,9.80,1:30.930,3,10.87,1:35.102,2,9.69,1:31.279,0,,PEN
