Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME
2,7.50,7.50,1,7.37,7.37,3,7.58,7.58,4,7.75,7.75
2,9.53,17.03,1,9.56,16.93,3,9.54,17.12,4,9.48,17.23
2,9.11,26.14,1,9.10,26.03,3,9.12,26.24,4,9.04,26.27
3,9.50,35.64,1,9.28,35.31,4,9.41,35.65,2,9.12,35.39
4,9.71,45.334,1,9.52,44.83,3,,44.913,0,,PHOTO
