QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME
3,14.67,14.67,1,14.57,14.57,4,14.88,14.88,1,14.57,14.57
2,11.07,25.74,1,11.15,25.72,4,11.14,26.02,3,11.24,25.81
2,10.27,36.01,1,10.27,35.99,4,10.31,36.33,3,10.39,36.20
2,10.00,46.01,1,9.89,45.88,4,9.90,46.23,3,9.92,46.12
1,9.67,55.68,2,9.92,55.80,4,9.77,56.00,3,9.80,55.92
1,9.73,1:05.41,2,9.67,1:05.47,4,9.64,1:05.64,3,9.67,1:05.59
1,9.47,1:14.88,2,9.44,1:14.91,3,9.40,1:15.04,3,9.45,1:15.04
1,9.41,1:24.29,3,9.57,1:24.48,1,9.25,1:24.29,4,9.56,1:24.60
2,9.53,1:33.82,3,9.51,1:33.966,1,9.32,1:33.61,4,9.53,1:34.113
