AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME
1,14.070,14.070,4,15.410,15.410,2,14.270,14.270,3,14.460,14.460
3,10.560,24.640,2,9.220,24.630,1,10.250,24.520,4,10.180,24.640
1,9.740,34.380,3,10.020,34.660,4,10.140,34.670,2,9.970,34.620
1,9.470,43.850,3,9.530,44.200,4,10.080,44.750,2,9.490,44.110
1,9.530,53.380,2,9.330,53.530,4,9.100,53.860,3,9.470,53.580
1,9.200,1:02.590,2,9.160,1:02.700,4,11.680,1:05.540,3,9.470,1:03.060
1,8.910,1:11.500,2,9.410,1:12.110,3,6.650,1:12.200,4,9.210,1:12.270
2,9.110,1:20.610,3,9.510,1:21.620,1,7.710,1:19.920,4,10.510,1:22.790
1,9.650,1:30.270,3,10.100,1:31.730,2,10.460,1:30.390,4,10.210,1:33.000
