Danabek KHAIROV POSITION,Danabek KHAIROV LAP TIME,Danabek KHAIROV ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
4,13.02,13.02,3,12.91,12.91,2,12.80,12.80,1,12.60,12.60,5,13.15,13.15
4,9.50,22.52,3,9.53,22.44,2,9.54,22.34,1,9.63,22.23,5,9.51,22.66
4,9.41,31.93,3,9.38,31.82,2,9.37,31.71,1,9.37,31.60,5,9.42,32.08
4,9.10,41.03,3,9.11,40.93,2,9.13,40.84,1,9.10,40.70,5,9.06,41.14
3,8.94,49.97,4,9.17,50.10,2,8.97,49.81,1,8.98,49.68,5,8.99,50.13
3,9.32,59.29,4,20.80,1:10.90,2,9.00,58.81,1,8.96,58.64,5,35.10,1:25.23
3,9.86,1:09.15,4,12.35,1:23.25,2,9.25,1:08.06,1,8.93,1:07.57,5,15.37,1:40.60
3,11.00,1:20.15,4,12.09,1:35.34,2,9.89,1:17.95,1,9.88,1:17.45,5,12.13,1:52.73
3,11.12,1:31.268,0,,PEN,2,10.40,1:28.341,1,10.68,1:28.128,4,14.50,2:07.221
