Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
2,7.25,7.25,1,7.13,7.13,3,7.50,7.50,4,7.99,7.99
2,9.47,16.72,1,9.55,16.68,3,9.60,17.10,4,9.69,17.68
2,9.09,25.81,1,9.05,25.73,3,9.27,26.37,4,9.09,26.77
2,9.32,35.13,1,9.33,35.06,3,9.39,35.76,4,9.35,36.12
1,9.56,44.688,2,9.70,44.759,3,9.72,45.472,4,9.42,45.537
