Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
2,12.90,12.90,3,13.01,13.01,1,12.85,12.85,4,13.10,13.10,5,13.27,13.27
1,10.01,22.91,3,9.95,22.96,4,10.12,22.97,5,10.09,23.19,2,9.68,22.95
2,9.14,32.05,3,9.26,32.22,4,9.43,32.40,5,9.39,32.58,1,9.01,31.96
1,9.00,41.05,3,9.08,41.30,4,9.02,41.42,5,8.98,41.56,2,9.18,41.14
1,9.11,50.16,3,9.11,50.41,4,9.07,50.49,5,9.08,50.64,2,9.13,50.27
1,9.07,59.23,3,8.99,59.40,4,9.03,59.52,5,8.96,59.60,2,9.05,59.32
1,9.06,1:08.29,3,9.05,1:08.45,4,9.05,1:08.57,5,9.14,1:08.74,2,9.01,1:08.33
3,9.08,1:17.37,4,9.00,1:17.45,2,8.79,1:17.36,5,9.09,1:17.83,1,8.75,1:17.08
3,9.11,1:26.478,5,34.36,1:51.809,2,8.98,1:26.335,4,9.25,1:27.076,1,9.06,1:26.131
