CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
1,13.13,13.13,2,13.25,13.25,3,13.42,13.42,4,13.54,13.54
2,10.38,23.51,1,10.11,23.36,3,10.17,23.59,4,10.17,23.71
2,10.20,33.71,1,10.22,33.58,3,10.22,33.81,4,10.20,33.91
2,10.19,43.90,1,10.21,43.79,3,10.14,43.95,4,10.13,44.04
2,10.02,53.92,1,10.00,53.79,3,10.09,54.04,4,10.07,54.11
2,9.83,1:03.75,1,9.90,1:03.69,3,9.92,1:03.96,4,9.92,1:04.03
2,9.34,1:13.09,1,9.27,1:12.96,3,9.30,1:13.26,4,9.36,1:13.39
2,9.30,1:22.39,1,9.37,1:22.33,3,9.24,1:22.50,4,9.22,1:22.61
2,9.48,1:31.862,1,9.46,1:31.785,3,9.46,1:31.956,4,9.43,1:32.040
