Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,YANG Jin POSITION,YANG Jin LAP TIME,YANG Jin ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
1,6.66,6.66,4,7.12,7.12,3,6.81,6.81,2,6.74,6.74
1,9.28,15.94,4,9.11,16.23,3,9.35,16.16,2,9.31,16.06
1,8.67,24.62,3,8.56,24.79,4,8.77,24.93,2,8.62,24.69
1,8.77,33.39,2,8.67,33.47,4,8.93,33.86,3,8.80,33.49
2,9.28,42.668,1,8.91,42.377,4,9.02,42.879,3,9.29,42.774
