KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Marco Fritz SCHUMANN POSITION,Marco Fritz SCHUMANN LAP TIME,Marco Fritz SCHUMANN ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Bram STEENAART POSITION,Bram STEENAART LAP TIME,Bram STEENAART ELAPSED TIME,WANG Pengyu POSITION,WANG Pengyu LAP TIME,WANG Pengyu ELAPSED TIME,PARK Noh Won POSITION,PARK Noh Won LAP TIME,PARK Noh Won ELAPSED TIME
2,8.91,8.91,1,8.81,8.81,5,9.15,9.15,6,9.31,9.31,4,9.10,9.10,3,9.07,,7,9.44,9.44
1,12.61,21.52,3,12.82,21.63,5,12.65,21.80,2,12.28,21.59,7,12.80,21.90,4,12.69,,6,12.38,21.82
5,11.48,33.00,4,11.36,32.99,2,11.07,32.87,3,11.37,32.96,7,11.48,33.38,6,11.51,,1,11.00,32.82
5,10.56,43.56,3,10.42,43.41,1,10.33,43.20,4,10.55,43.51,7,10.45,43.83,6,10.41,,2,10.48,43.30
5,10.07,53.63,4,10.09,53.50,1,10.11,53.31,3,9.96,53.47,7,10.03,53.86,6,10.07,,2,10.09,53.39
5,10.57,1:04.20,4,10.57,1:04.07,1,10.29,1:03.60,3,10.48,1:03.95,6,10.38,1:04.24,7,10.62,,2,10.36,1:03.75
5,9.90,1:14.10,1,9.49,1:13.56,2,10.16,1:13.76,4,10.09,1:14.04,6,9.97,1:14.21,7,9.91,,3,10.19,1:13.94
5,9.56,1:23.66,1,9.68,1:23.24,2,9.60,1:23.36,4,9.54,1:23.58,7,9.57,1:23.78,6,9.40,,3,9.55,1:23.49
6,9.43,1:33.09,1,9.40,1:32.64,2,9.41,1:32.77,5,9.43,1:33.01,7,9.42,1:33.20,4,9.21,,3,9.39,1:32.88
6,9.20,1:42.29,1,9.23,1:41.87,4,9.46,1:42.23,2,9.12,1:42.13,7,9.11,1:42.31,5,9.37,,3,9.26,1:42.14
7,32.81,2:15.10,1,9.02,1:50.89,4,9.28,1:51.51,2,8.96,1:51.09,5,9.23,1:51.54,6,9.37,,3,9.06,1:51.20
7,21.89,2:36.99,1,8.97,1:59.86,4,9.10,2:00.61,2,8.90,1:59.99,6,9.42,2:00.96,5,9.22,,3,8.83,2:00.03
7,12.64,2:49.63,1,9.20,2:09.06,4,9.30,2:09.91,2,9.08,2:09.07,6,9.42,2:10.38,4,9.06,,3,9.10,2:09.13
6,12.58,3:02.186,2,9.38,2:18.44,5,9.65,2:19.56,1,9.22,2:18.29,5,9.58,2:19.925,4,9.29,,3,9.35,2:18.48
