Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME
1,13.18,13.18,3,13.36,13.36,2,13.24,13.24,4,13.48,13.48
1,10.80,23.98,3,10.83,24.19,2,10.75,23.99,4,10.90,24.38
2,10.04,34.02,4,9.96,34.15,1,9.93,33.92,3,9.76,34.14
1,9.51,43.53,4,9.78,43.93,2,9.72,43.64,3,9.64,43.78
1,9.19,52.72,4,9.33,53.26,2,9.16,52.80,3,9.21,52.99
1,9.07,1:01.79,4,9.47,1:02.73,2,9.09,1:01.89,3,9.02,1:02.01
1,9.25,1:11.04,4,9.76,1:12.49,3,9.31,1:11.20,2,9.15,1:11.16
1,9.44,1:20.48,4,10.15,1:22.64,3,9.62,1:20.82,2,9.47,1:20.63
1,9.58,1:30.059,4,10.60,1:33.233,3,9.83,1:30.648,2,9.60,1:30.221
