ZHALYALETDINOVA Karina POSITION,ZHALYALETDINOVA Karina LAP TIME,ZHALYALETDINOVA Karina ELAPSED TIME,SANDECK Juliane POSITION,SANDECK Juliane LAP TIME,SANDECK Juliane ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Galina MANUILOVA POSITION,Galina MANUILOVA LAP TIME,Galina MANUILOVA ELAPSED TIME
1,7.977,7.977,3,8.351,8.351,2,8.090,8.090,4,8.760,8.760
1,10.014,17.990,3,10.286,18.637,2,9.980,18.070,4,10.627,19.387
2,10.145,28.135,3,10.053,28.689,1,9.946,28.016,4,10.533,29.919
4,26.372,54.506,2,10.458,39.147,1,10.066,38.081,3,11.011,40.930
4,16.04,1:10.541,2,10.61,49.752,1,10.20,48.280,3,11.38,52.301
