Melanie BRANTNER POSITION,Melanie BRANTNER LAP TIME,Melanie BRANTNER ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Natallia TSAULIKA POSITION,Natallia TSAULIKA LAP TIME,Natallia TSAULIKA ELAPSED TIME
3,8.21,8.21,1,7.67,7.67,2,7.96,7.96,4,8.29,8.29
4,10.67,18.88,1,10.08,17.75,2,9.91,17.87,3,10.40,18.69
4,10.09,28.97,1,9.72,27.47,2,9.69,27.56,3,10.00,28.69
4,10.16,39.13,1,9.89,37.36,2,9.91,37.47,3,10.22,38.91
4,10.48,49.601,2,10.19,47.544,1,9.89,47.355,3,10.53,49.440
