FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME
3,14.39,14.39,4,14.46,14.46,1,14.15,14.15,2,14.32,14.32,5,14.59,14.59
2,11.44,25.83,3,11.45,25.91,1,11.56,25.71,3,11.59,25.91,5,11.44,26.03
2,9.74,35.57,3,9.76,35.67,1,9.72,35.43,4,9.86,35.77,5,9.83,35.86
2,9.81,45.38,3,9.80,45.47,1,9.85,45.28,4,9.80,45.57,5,9.81,45.67
2,9.91,55.29,3,9.91,55.38,1,9.91,55.19,4,9.90,55.47,5,9.90,55.57
1,9.28,1:04.57,3,9.51,1:04.89,2,9.49,1:04.68,4,9.75,1:05.22,5,9.75,1:05.32
1,9.13,1:13.70,3,9.06,1:13.95,2,9.10,1:13.78,4,9.30,1:14.52,5,9.42,1:14.74
1,9.13,1:22.83,3,9.07,1:23.02,2,9.14,1:22.92,4,9.50,1:24.02,5,9.42,1:24.16
1,9.15,1:31.98,3,9.20,1:32.209,2,9.13,1:32.05,4,9.75,1:33.770,5,9.72,1:33.857
