DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,KUCZYNSKI Lukasz POSITION,KUCZYNSKI Lukasz LAP TIME,KUCZYNSKI Lukasz ELAPSED TIME,Trevor Xu Xuan TAN POSITION,Trevor Xu Xuan TAN LAP TIME,Trevor Xu Xuan TAN ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME
3,8.89,8.89,2,8.75,8.75,1,8.65,8.65,4,8.95,8.95,5,9.05,9.05,6,9.07,9.07
3,12.33,21.22,2,12.35,21.10,1,12.32,20.97,4,12.38,21.33,6,12.38,21.43,5,12.34,21.41
3,11.92,33.14,2,11.97,33.07,1,11.99,32.96,4,11.90,33.23,6,12.00,33.43,5,11.90,33.31
1,11.30,44.44,4,11.68,44.75,2,11.58,44.54,3,11.41,44.64,6,11.51,44.94,5,11.53,44.84
1,10.99,55.43,3,10.86,55.61,2,10.98,55.52,5,11.09,55.73,6,10.89,55.83,4,10.86,55.70
1,10.83,1:06.26,3,10.87,1:06.48,2,10.86,1:06.38,4,10.86,1:06.59,6,10.94,1:06.77,5,11.02,1:06.72
1,10.60,1:16.86,4,10.57,1:17.05,2,10.58,1:16.96,3,10.38,1:16.97,6,10.55,1:17.32,5,10.45,1:17.17
1,10.33,1:27.19,2,10.22,1:27.27,3,10.41,1:27.37,4,10.44,1:27.41,6,10.29,1:27.61,5,10.35,1:27.52
1,9.89,1:37.08,2,9.90,1:37.17,3,9.88,1:37.25,5,10.06,1:37.47,6,10.01,1:37.62,4,9.81,1:37.33
1,9.58,1:46.66,2,9.55,1:46.72,3,9.57,1:46.82,6,9.69,1:47.16,5,9.36,1:46.98,3,9.49,1:46.82
2,9.24,1:55.90,1,9.17,1:55.89,4,9.32,1:56.14,6,9.68,1:56.84,5,9.27,1:56.25,3,9.18,1:56.00
2,8.82,2:04.72,1,8.79,2:04.68,4,8.85,2:04.99,6,9.96,2:06.80,5,8.94,2:05.19,3,8.87,2:04.87
1,8.76,2:13.48,2,8.83,2:13.51,3,8.75,2:13.74,6,10.56,2:17.36,5,9.11,2:14.30,4,9.04,2:13.91
1,8.91,2:22.39,2,8.95,2:22.46,3,8.95,2:22.69,6,11.04,2:28.40,5,9.25,2:23.55,4,9.21,2:23.12
